,Hospital,City,State,RUCAii,CBSAiii,"Medicare
Payment
Type iv","Closure
Month","Closure
Year",# of Beds,Current Status
160,"Texas General- Van Zandt
Regional Medical Center",Grand Saline,Texas,7,Neither,PPS,August,2019,1,Clinic services
159,Hamlin Memorial Hospital,Hamlin,Texas,10.1,Metro,MDH,July,2019,25,"Clinic, labs,
imaging, and EMS"
158,Sitka Community Hospital,Sitka,Alaska,7,Neither,CAH,July,2019,12,"Primary and long-
term care and
physical therapy"
157,Chillicothe Hospital,Chillicothe,Texas,10.2,Neither,CAH,July,2019,21,Clinic services
156,Fayette Regional Health System,Connersville,Indiana,4,Micro,PPS,July,2019,45,"ED, labs, and
radiology"
155,Regional General Hospital,Williston,Florida,2,Neither,PPS,June,2019,20,None
,,,,,,,,,,"Emergency,"
,Albert Lea- Mayo Clinic Health,,,,,,,,,"outpatient,"
154,,Albert Lea,Minnesota,4,Micro,SCH,June,2019,142,
,System,,,,,,,,,"primary care, and"
,,,,,,,,,,labor & delivery
153,"Jamestown Regional Medical
Center",Jamestown,Tennessee,10.2,Neither,SCH,June,2019,54,None
152,De Queen Medical Center,De Queen,Arkansas,7,Neither,CAH,May,2019,25,None
151,Mercy Hospital El Reno,El Reno,Oklahoma,4.1,Metro,PPS,April,2019,48,"Emergency and lab
and diagnostic
imaging services"
150,Takoma Regional Hospital,Greenville,Tennessee,4,Micro,MDH,April,2019,73,"Emergency/urgent,
outpatient, and
behavioral health"
149,Horton Community Hospital,Horton,Kansas,10.3,Neither,CAH,March,2019,15,None
148,Georgiana Medical Center,Georgiana,Alabama,10.1,Neither,MDH,March,2019,22,None
147,Cumberland River Hospital,Celina,Tennessee,6,Neither,CAH,March,2019,25,None
146,I-70 Community Hospital,Sweet Springs,Missouri,10,Micro,CAH,February,2019,15,None
145,Oswego Community Hospital,Oswego,Kansas,10.2,Micro,CAH,February,2019,12,None
144,Doctor’s Hospital at Deer Creek,Leesville,Louisiana,7,Micro,PPS,January,2019,10,None
143,Mercy Hospital Fort Scott,Fort Scott,Kansas,7,Neither,MDH,December,2018,43,"Emergency and
primary care clinic"
142,Fairfield Memorial Hospital,Winnsboro,South Carolina,2,Metro,CAH,December,2018,25,None
141,"Little River Healthcare Cameron
Hospital",Cameron,Texas,7.1,Neither,PPS,December,2018,34,None
140,"Little River Healthcare Rockdale
Hospital",Rockdale,Texas,7.1,Neither,CAH,December,2018,25,None
139,Adventist Health Feather River,Paradise,California,4.1,Metro,MDH,November,2018,100,None
138,Latimer County General Hospital,Wilburton,Oklahoma,7,Neither,MDH,October,2018,33,None
137,"Southeast Health Center of
Ripley County",Doniphan,Missouri,10.2,Neither,MDH,October,2018,21,"Outpatient
Services"
136,Pauls Valley General Hospital,Pauls Valley,Oklahoma,7,Neither,SCH,October,2018,64,None
135,McKenzie Regional Hospital,McKenzie,Tennessee,7,Neither,PPS,September,2018,29,None
134,Sayre Community Hospital,Sayre,Oklahoma,7.2,Micro,PPS,August,2018,22,None
133,Chestatee Regional Hospital,Dahlonega,Georgia,2,Neither,PPS,July,2018,38,None
132,Stamford Memorial Hospital,Stamford,Texas,7.1,Metro,PPS,July,2018,22,"Walk-in clinic, labs,
radiology, and PT"
131,"Twin Rivers Regional Medical
Center",Kennett,Missouri,4,Micro,PPS,June,2018,100,None
130,"Coalinga Regional Medical
Center",Coalinga,California,4,Metro,SCH,May,2018,22,None
129,Moses-Ludington Hospital,Ticonderoga,New York,7,Neither,CAH,April,2018,15,"Emergency and
outpatient center"
128,Our Community Hospital,Scotland Neck,North Carolina,10.1,Micro,CAH,December,2017,20,"Long term care
and assisted living."
127,Weimar Medical Center,Weimar,Texas,10,Neither,PPS,November,2017,38,None
,,,,,,,,,,"Emergency,"
,,,,,,,,,,"outpatient, and"
126,Lake Shore Health Care Center,Irving,New York,10.1,Micro,PPS,November,2017,25,
,,,,,,,,,,substance
,,,,,,,,,,treatment
125,"Sandhills Regional Medical
Center",Hamlet,North Carolina,4,Micro,PPS,November,2017,64,None
124,"Pioneer Community Hospital of
Patrick County",Stuart,Virginia,6,Neither,CAH,September,2017,25,None
123,Care Regional Medical Center,Aransas Pass,Texas,4.1,Metro,PPS,August,2017,63,None
122,"East Texas Medical Center-
Trinity",Trinity,Texas,7.2,Micro,MDH,August,2017,45,None
121,Campbellton-Graceville Hospital,Graceville,Florida,7.1,Neither,CAH,June,2017,25,None
120,Copper Basin Medical Center,Copperhill,Tennessee,10.1,Metro,CAH,May,2017,21,Emergency room
,,,,,,,,,,None. Services
,,,,,,,,,,moved to a new
119,Davie Medical Center- Mocksville,Mocksville,North Carolina,7.1,Metro,PPS,March,2017,10,
,,,,,,,,,,building in an
,,,,,,,,,,urban community.
118,Gulf Coast Medical Center,Wharton,Texas,7.1,Micro,PPS,November,2016,94,None
117,Nix Community General Hospital,Dilley,Texas,7,Neither,PPS,September,2016,18,None
116,Quitman County Hospital,Marks,Mississippi,10.1,Neither,CAH,September,2016,25,None
115,North Georgia Medical Center,Ellijay,Georgia,7,Neither,PPS,June,2016,40,Emergency room
114,Epic Medical Center,Eufaula,Oklahoma,10.2,Neither,MDH,May,2016,33,Urgent care facility
113,"Tennova Healthcare McNairy
Regional",Selmer,Tennessee,7,Neither,MDH,May,2016,26,None
,,,,,,,,,,"Outpatient, lab,"
,Memorial Hospital & Physician,,,,,,,,,
,,,,,,,,,,"physical therapy,"
,,Frederick,Oklahoma,7.1,Neither,SCH,March,2016,37,
112,Group,,,,,,,,,and nursing home.
111,"SoutheastHEALTH Center of
Reynolds County",Ellington,Missouri,2,Neither,CAH,March,2016,21,None
110,New Horizons Medical Center,Owenton,Kentucky,10.2,Neither,CAH,February,2016,25,Radiology and labs
109,Westlake Regional Hospital,Columbia,Kentucky,7,Neither,MDH,February,2016,49,"ER, outpatient, and
primary care
services."
108,Southern Palmetto Hospital,Barnwell,South Carolina,7.1,Neither,SCH,January,2016,30,None
107,St. Mary’s Hospital,Streator,Illinois,4,Micro,PPS,January,2016,94,"24-hour urgent
care and
outpatient services"
106,Albany Area Hospital,Albany,Minnesota,2,Metro,CAH,December,2015,17,None
105,"Pioneer Community Hospital of
Newton",Newton,Mississippi,7,Neither,CAH,December,2015,21,None
104,"Merit Health Natchez-
Community Campus",Natchez,Mississippi,4,Micro,PPS,November,2015,101,"None. Services
consolidated with
another hospital."
103,"Southern Maine Health Care-
Sanford Medical Center",Sanford,Maine,4.1,Metro,PPS,October,2015,46,"24-hour ER and
outpatient services"
102,"Novant Health Franklin Medical
Center",Louisburg,North Carolina,7,Metro,PPS,October,2015,70,"Emergency,
imaging, and
behavioral health"
