city,Lat,long
Grand Saline,32.673466,-95.709404
Hamlin, 32.88,100
Chillicothe,34.25,100
Cameron,30.858027,-96.975975
Rockdale,30.6555,97
Stamford,32.9454,29.7027
Weimar,29.7027,96.78
Aransas Pass,27.9095,97.1506
Trinity,30.9452,95.3755
Wharton,29.3116,96.1027
Dilley,28.6675,99.1706
Commerce,33.2471,95.9
Mount Vernon,33.1887,95.2213
Clarksville,33.6107,95.0527
Gilmer,32.7287,94.9424
Linden,33.0124,94.3655
Whitney,31.9518,97.3214
Bridgeport,33.2101,97.7548
Center,32.736,96.2753
